RP_ID,Year,Author,Title,Venue,DOI,Contribution,Dataset,Data Size,Models Used,Evaluation Metrics,Key Results,Strengths,Limitations
RP11,2022,Dettmers,LLM.int8(): 8-bit Matrix Multiplication for Transformers at Scale,NeurIPS 2022 (arXiv:2208.07339),arXiv:2208.07339,LLM.int8() is a two-part Int8 inference procedure (vector-wise quantization plus mixed-precision decomposition that isolates emergent outlier features in 16-bit) that quantizes transformers up to 175B parameters with no performance loss and halves inference memory.,C4 (validation); WinoGrande; HellaSwag; PIQA; LAMBADA; EleutherAI LM Evaluation Harness; Books / English Wikipedia / CC-News / OpenWebText / CC-Stories / English CC100 (pretraining corpus); WMT14+WMT16 (NMT training appendix); GLUE (RoBERTa-large finetuning appendix),"C4 validation perplexity for models 125M-13B; zeroshot evaluation on OPT models 125M-175B; 2048-token sequences for outlier analysis (about 150,000 outliers per sequence at 6.7B)",Fairseq dense LM 125M; Fairseq dense LM 1.3B; Fairseq dense LM 2.7B; Fairseq dense LM 6.7B; Fairseq dense LM 13B; OPT-125M / 1.3B / 2.7B / 6.7B / 13B / 30B / 66B / 175B; BLOOM-176B; GPT-2 (117M / 345M / 762M / 1.5B); GPT-J 6B; RoBERTa-large (finetuning appendix),"Performance retention vs FP16=no degradation (OPT-175B 8-bit C4); Memory reduction factor=1.96 (BLOOM-176B 8-bit N/A); Perplexity degradation (%)=600-1000% (Transformer-LM 16-bit C4); Perplexity=12.45 (Transformer-13B 8-bit C4) | other metrics: C4 validation perplexity (PPL); Mean zeroshot accuracy (WinoGrande, HellaSwag, PIQA, LAMBADA); Top-1 attention softmax probability; Memory footprint reduction factor; Per-token end-to-end inference latency (ms)","OPT-13B C4 PPL: FP32=12.45, Int8 absmax=19.08, Int8 vector-wise=16.48, LLM.int8()=12.45 (no degradation) | LLM.int8() preserves zeroshot accuracy from 125M up to 175B OPT, while 8-bit absmax vector-wise degenerates to random performance after 6.7B parameters | Removing the about 7 outlier feature dimensions (~0.1% of features) drops top-1 softmax probability from ~40% to ~20% and increases perplexity by 600-1000% | Phase shift at 6.7B parameters: outliers go from 65% to 100% of layers and 35% to 75% of sequence dimensions, co-occurring with quantization failure | BLOOM-176B end-to-end per-token latency: bf16 baseline 239 ms (8xA100) vs LLM.int8() 247 ms on only 3xA100 (similar speed, fewer GPUs)","First Int8 method to preserve full predictive performance for 175B-parameter transformers, including OPT-175B and BLOOM-176B. | Halves inference memory and lets BLOOM-176B run on a single consumer GPU server, broadening access for low-resource researchers. | Provides the first descriptive analysis of emergent outlier features that explains why prior 8-bit methods fail at the 6.7B scale. | Open-source bitsandbytes library and Hugging Face integration, making the method easy to reproduce and apply to existing models.","Studied only Int8; the FP8 data type and its potential accuracy or speed gains are left to future work. | Method is only validated up to 175B parameters; emergent properties at larger scales could break the procedure. | Attention function itself is not quantized, limiting compute savings beyond memory bandwidth reduction. | Quantization overhead actually slows inference for models smaller than 6.7B parameters compared to FP16."
RP12,2023,Touvron,Llama 2: Open Foundation and Fine-Tuned Chat Models,arXiv preprint (Meta GenAI technical report),,"Llama 2 is an open-release family of pretrained and fine-tuned LLMs (7B, 13B, 70B) optimized via SFT and RLHF for dialogue, with safety tuning and Ghost Attention.",HumanEval; MBPP; PIQA; SIQA; HellaSwag; WinoGrande; ARC (easy and challenge); OpenBookQA; CommonsenseQA; NaturalQuestions; TriviaQA; SQuAD; QuAC; BoolQ; GSM8K; MATH; MMLU; BIG-Bench Hard (BBH); AGI Eval; TruthfulQA; ToxiGen,"2 trillion pretraining tokens; 27,540 SFT annotations; ~1.4M binary human preference comparisons for RLHF reward modeling","Llama 2 7B; Llama 2 13B; Llama 2 34B; Llama 2 70B; Llama 2-Chat 7B; Llama 2-Chat 13B; Llama 2-Chat 70B; Llama 1 (7B/13B/33B/65B, baselines); MPT (7B/30B, baseline); Falcon (7B/40B, baseline); GPT-3.5 (closed baseline); GPT-4 (closed baseline); PaLM 540B (closed baseline); PaLM-2-L (closed baseline)","Pretraining tokens=2T (Llama-2 Pretraining corpus); Win rate vs ChatGPT (%)=36.0 (Llama-2-Chat-70B Human Eval (helpfulness ~4000 prompts)); Tie rate vs ChatGPT (%)=31.5 (Llama-2-Chat-70B Human Eval (helpfulness ~4000 prompts)); Win rate vs MPT-7B-chat (%)=60.0 (Llama-2-Chat-7B Human Eval (helpfulness)) | other metrics: Accuracy (multiple-choice / classification benchmarks); pass@1 (HumanEval / MBPP code); Helpfulness win-rate (human + GPT-4); Safety violation percentage (human eval, ~2,000 adversarial prompts); TruthfulQA truthful-and-informative %","Llama 2 70B reaches MMLU 68.9, BBH 51.2, AGI Eval 54.2, beating all open-source baselines (MPT-30B, Falcon-40B, Llama 1 65B) | Llama 2 70B improves over Llama 1 65B by ~5 points on MMLU and ~8 points on BBH | Llama 2 70B closes ground on GPT-3.5: MMLU 68.9 vs 70.0 and GSM8K 56.8 vs 57.1 (still a gap on coding) | Pretraining cost: 3.3M GPU-hours on A100-80GB and 539 tCO2eq emitted (100% offset by Meta)","Open release of competitive 7B/13B/70B base + chat models with permissive license enables reproducible research and commercial use. | Architectural upgrades over Llama 1: 4k context, 40% more pretraining tokens, and grouped-query attention for inference scaling. | Detailed safety methodology: red-teaming, safety-tuning, iterative RLHF, and Ghost Attention for multi-turn dialogue control. | Closes much of the gap to GPT-3.5 on MMLU and GSM8K and is on par with PaLM-540B on most benchmarks.","Knowledge frozen post-pretraining; the model can produce non-factual content and hallucinations. | Predominantly English; performance in other languages is fragile and should be used with caution. | Safety tuning sometimes overshoots, causing the model to refuse benign requests or add excessive safety caveats. | Can still emit harmful, offensive, or biased content because pretraining data is drawn from public web sources."
RP13,2023,Chee,QuIP: 2-Bit Quantization of Large Language Models With Guarantees,NeurIPS 2023,arXiv:2307.13304,"QuIP is a post-training weight-only quantization method that uses incoherence processing via random orthogonal matrices to enable the first viable 2-bit LLM quantization, paired with adaptive rounding (LDLQ) and theoretical guarantees.",C4; WikiText2; Penn Treebank (PTB); LAMBADA; ARC Easy; PiQA; StoryCloze,128 random 2048-token segments from C4 (calibration set),OPT-125m; OPT-1.3B; OPT-2.7B; OPT-6.7B; OPT-13B; OPT-30B; OPT-66B; Llama 2 70B,Perplexity=123.908 (LLaMA-2-70B 2-bit WikiText-2); Perplexity=6.326 (LLaMA-2-70B 2-bit WikiText-2); Perplexity=8.937 (LLaMA-2-70B 2-bit C4); Perplexity=71.7 (OPT-30B 2-bit WikiText-2) | other metrics: Perplexity (PPL); Zero-shot accuracy; Per-token throughput (ms),"Llama 2 70B at 2-bit with QuIP reaches WikiText PPL 6.326 vs 16-bit 3.319, while OPTQ collapses to 123.908 at 2-bit | OPT-30B at 2-bit with QuIP reaches WikiText PPL 11.48 vs 16-bit 9.56, while OPTQ degrades to 71.70 | QuIP is about 1.5x slower than OPTQ at inference: 81 ms/token vs 53 ms/token on OPT-66B (A6000) | Random permutation in fast orthogonal multiplication reduces 2-bit perplexity by 74.2 points on OPT-125m (averaged over WikiText2/PTB/C4)","First PTQ method to make 2-bit weight quantization viable across LLM sizes (including OPT-66B and Llama 2 70B). | Provides the first theoretical analysis for an LLM-scale quantization algorithm and shows the analysis also covers OPTQ. | Incoherence processing improves every rounding method tested, including plain nearest rounding, at 2 bits. | Code is open-sourced on GitHub for full reproducibility.",QuIP inference is about 1.5x slower than OPTQ because incoherence processing is implemented in PyTorch. | Adaptive rounding proxy treats each layer in isolation; cross-layer interactions are not modelled. | QuIP-RG variant sometimes beats QuIP but the authors note further study is required to evaluate it.
RP14,2022,Yao,ZeroQuant: Efficient and Affordable Post-Training Quantization for Large-Scale Transformers,NeurIPS 2022,arXiv:2206.01861,ZeroQuant is an end-to-end post-training quantization and inference pipeline that pairs group-wise weight and token-wise activation quantization with a layer-by-layer knowledge distillation method and optimized INT8 GPU kernels for BERT and GPT-3-style models up to 20B parameters.,"GLUE (CoLA, MNLI, MRPC, QNLI, QQP, RTE, SST-2, STS-B); Lambada; PIQA; OpenBookQA; ReCoRD; HellaSwag; TriviaQA; WebQS; Winogrande; ARC (Easy and Challenge); ANLI (R1/R2/R3); RACE-h; BoolQ; COPA; WSC; MultiRC; WikiText-2; WikiText-103; Penn Treebank (PTB); PILE (LKD calibration / GPT-3 pretraining); Wikipedia (HuggingFace, LKD without original data)","BERT calibration: batch size 32, sequence length 128, momentum 0.95 over 100 iterations; GPT-3 calibration: batch size 8, sequence length 2048; LKD: 100-1600 iterations depending on model.",BERT-base; BERT-large; GPT-3-style 350M; GPT-3-style 1.3B; GPT-J 6B; GPT-NeoX 20B,"Average Accuracy=82.35 (BERT-base 4-bit GLUE); Speedup over FP16=5.19 (BERT-base 8-bit A100 (BS128, SeqLen128)); Speedup over FP16=4.16 (GPT-3-350M 8-bit A100 (50-token gen)); Speedup over FP16=3.67 (GPT-J-6B 8-bit A100 (50-token gen)) | other metrics: GLUE accuracy (Matthews / accuracy / F1 / Pearson-Spearman); Zero-shot accuracy (19 tasks average); Perplexity (Wikitext-2 / Wikitext-103 / PTB); End-to-end latency (ms); Speedup factor over FP16","BERT-base W8A8 ZeroQuant reaches 83.75 GLUE average vs 83.95 FP16 baseline (delta 0.20) at 0 s calibration cost, while standard PTQ falls to 77.41 | BERT-base W4/8A16 ZeroQuant-LKD reaches 82.35 GLUE average (vs PTQ 33.11) in 31 s per task, ~93.5x cheaper than INT8 QAT (2900 s) | GPT-3 350M W8A8 ZeroQuant reaches Wikitext-2 PPL 21.7 vs 21.5 FP16 (delta 0.2), while W8A8 PTQ degrades to 26.2 | Up to 5.19x INT8 speedup on BERT-base and 4.16x on GPT-3 350M end-to-end on a single 40G A100 vs FP16 | GPT-NeoX 20B W8A8/16 cuts latency from 2x65ms to 1x25ms and halves GPU count, giving 5.2x better efficiency at matched accuracy (Ave. 50.4 vs 50.5) | GPT-J 6B W8A8 reaches 10.51 PPL on WikiText-2 vs 10.35 FP16 with 3.67x latency speedup (29.13 ms to 7.94 ms)","Group-wise weight and token-wise activation quantization recover near-FP16 accuracy on BERT and GPT-3-style models with zero calibration cost. | Layer-by-layer knowledge distillation enables INT4/INT8 mixed-precision compression even without access to the original training data. | Custom CUTLASS INT8 kernels and operator fusion give real end-to-end speedups up to 5.19x on BERT and 5.2x on GPT-NeoX 20B. | Scales to 20B-parameter open-source models, halving the GPU count required for GPT-NeoX 20B inference from 2 A100 to 1 A100.","Self-attention input activations of GPT-NeoX 20B must stay in FP16 because INT8 there causes large accuracy loss; root cause is conjectured but not verified. | INT4/INT8 mixed precision still loses accuracy on small or generation-heavy tasks such as RTE and Wikitext-2 even with LKD. | Hyper-parameters for LKD are kept fixed across all tasks; the authors note tuning could change results. | INT4 weights are only applied to FFC; MHSA weights stay at INT8, so the average bitwidth is higher than pure INT4."
RP15,2023,Lin,AWQ: Activation-aware Weight Quantization for On-Device LLM Compression and Acceleration,MLSys 2024 (Best Paper Award),https://github.com/mit-han-lab/llm-awq,"AWQ is a hardware-friendly low-bit weight-only PTQ method that protects the top 1% salient channels using activation-aware per-channel scaling, with no backpropagation, and is paired with TinyChat to deliver 3-4x edge speedup over FP16.",WikiText-2; The Pile; PubMed Abstracts (Pile subset); Enron Emails; COCO Captions; MBPP; GSM8K; Vicuna-Bench (80 GPT-4 questions); VQAv2 / GQA / VizWiz / SQA-I / VQA-T / POPE / MME / MMB / SEED / LLaVA-Bench / MM-Vet (VILA suite),16 sequences for AWQ calibration vs 192 for GPTQ on OPT-6.7B (10x smaller); 5k samples for COCO captioning eval; 1k samples for PubMed/Enron eval,OPT-1.3B; OPT-2.7B; OPT-6.7B; OPT-13B; OPT-30B; LLaMA-7B; LLaMA-13B; LLaMA-30B; LLaMA-65B; Llama-2-7B; Llama-2-13B; Llama-2-70B; Mistral-7B-Instruct-v0.2; Mixtral-8x7B-Instruct-v0.1; Vicuna-7B / 13B; OpenFlamingo-9B; LLaVA-13B; VILA-7B / VILA-13B; CodeLlama-7B-Instruct-hf; Falcon-7B / Falcon-180B; MPT; StarCoder,"Perplexity=6.24 (Llama-2-7B 3-bit WikiText-2); Perplexity=3.74 (Llama-2-70B 3-bit WikiText-2); Perplexity=5.6 (Llama-2-7B 4-bit WikiText-2); Perplexity=3.41 (Llama-2-70B 4-bit WikiText-2) | other metrics: Perplexity (WikiText-2); CIDEr (COCO Captioning); GPT-4 evaluation score (Vicuna); pass@1 / pass@10 (MBPP); Accuracy (GSM8K, VQAv2, GQA, VizWiz, SQA-I, VQA-T, POPE, MME, MMB, SEED, LLaVA-Bench, MM-Vet)","Llama-2-7B at INT3-g128: AWQ PPL 6.24 vs FP16 5.47 (GPTQ 6.43, GPTQ-R 6.42, RTN 6.66) on WikiText-2 | Llama-2-70B at INT4-g128: AWQ PPL 3.41 vs FP16 3.32 (Delta 0.09) | OpenFlamingo-9B at INT4-g128 32-shot: AWQ CIDEr 80.53 vs FP16 81.70 (degradation reduced from 4.57 to 1.17) | TinyChat with 4-bit AWQ delivers 3.2-3.3x average speedup over Huggingface FP16 across desktop, laptop and mobile GPUs | TinyChat reaches 3.9x speedup on RTX 4090 desktop and 3.5x on Jetson Orin mobile GPU vs FP16 Huggingface","Hardware-friendly: avoids mixed-precision by using per-channel scaling, so 4-bit weights stay in a uniform integer format. | Generalist: no backpropagation or reconstruction, so it does not overfit calibration data and works for instruction-tuned and multi-modal LLMs. | Data-efficient: needs roughly 10x less calibration data than GPTQ (16 vs 192 sequences) for OPT-6.7B INT3. | Practical edge speedup: TinyChat delivers 3-4x measured speedup on desktop, laptop, and mobile GPUs, including Llama-2-70B on a single Jetson Orin.","Does not quantize activations - W4A16 keeps activations in FP16 and only reduces weight memory. | Selecting the optimal scale needs a small grid search (size 20) over alpha, adding tuning cost per layer. | INT2 quantization on its own is not enough; AWQ has to be combined with GPTQ to recover usable PPL on OPT. | On-the-fly dequantization is still costly on SIMD CPUs and needs platform-specific weight packing."
RP16,2023,Kim,SqueezeLLM: Dense-and-Sparse Quantization,ICML 2024 (PMLR 235),arXiv:2306.07629,SqueezeLLM is a post-training weight-only PTQ framework that uses sensitivity-based non-uniform quantization plus Dense-and-Sparse decomposition to achieve near-lossless 3-bit LLM compression and up to 2.3x speedup on A6000.,C4; WikiText2; MMLU; Vicuna instruction-following benchmark,"100 random calibration samples (from Vicuna training set for Vicuna models, C4 training set otherwise); chunk size 2048; data efficiency study shows 10 samples are enough.","LLaMA-7B; LLaMA-13B; LLaMA-30B; LLaMA-65B; LLaMA2-7B; LLaMA2-13B; LLaMA2-70B; OPT; Vicuna-7B (v1.1, v1.3); Vicuna-13B (v1.1, v1.3); Vicuna-33B (v1.3)",Perplexity=7.75 (LLaMA-7B 3-bit C4); Speedup over FP16=2.3 (LLaMA-7B 3-bit C4); Perplexity=28.26 (LLaMA-7B 3-bit C4); Perplexity=7.56 (LLaMA-7B 3-bit C4) | other metrics: Perplexity (PPL); MMLU zero-shot accuracy; GPT-4 ranked instruction-following win/tie/loss; Latency (seconds for 128/1024 tokens); Peak GPU memory (GB),3-bit LLaMA-7B (dense-only) PPL on C4 = 7.75 vs FP16 7.08; 0.45% sparsity drops it to 7.56 (gap 0.48); RTN baseline is 28.26. | 3-bit LLaMA-7B reduces perplexity gap from FP16 by up to 2.1x compared to GPTQ/AWQ at the same memory budget. | Up to 2.3x decoding speedup over FP16 on A6000 (3-bit dense-only LLaMA-7B latency 1.5s vs 3.2s baseline for 128 tokens). | 4-bit LLaMA-7B (0.45% sparse) PPL = 7.18 on C4 / 5.77 on WikiText-2 vs FP16 7.08/5.68 (~0.1 PPL gap) at 3.95x compression.,"Sensitivity-based non-uniform quantization cuts 3-bit LLaMA-7B C4 PPL from 28.26 (RTN) to 7.75, with no retraining. | Dense-and-Sparse decomposition isolates 0.45% outlier and sensitive weights to enable near-lossless 3-bit compression. | Custom LUT-based CUDA kernels deliver up to 2.3x A6000 speedup and 1.5-2.5x A100 speedup over FP16. | Data-efficient calibration: only 10 samples needed to compute Fisher information, vs 100-200 for GPTQ/AWQ.",Empirical results focus on generation tasks; framework not yet assessed on non-decoder architectures. | Higher quantization-time memory than GPTQ because Fisher information matrix needs gradient back-propagation. | Dense-only 2-bit SqueezeLLM lags behind OmniQuant on 13B/70B; sparsity overhead is needed to recover accuracy. | Sparse component needs a custom balanced kernel; standard CSR adds over 100% latency overhead.
RP17,2023,Dettmers,SpQR: A Sparse-Quantized Representation for Near-Lossless LLM Weight Compression,arXiv preprint (arXiv:2306.03078),,"SpQR is a hybrid sparse-quantized PTQ format that isolates outlier weights at 16-bit and quantizes the rest to 3-4 bits, reaching near-lossless (<1% perplexity loss) compression of LLaMA and Falcon LLMs.",WikiText-2; Penn Treebank; C4; WinoGrande; PiQA; HellaSwag; ARC-easy; ARC-challenge; RedPajama (calibration for LLaMA); RefinedWeb (calibration for Falcon),128 calibration sequences of 2048 tokens each (sensitivity analysis on LLaMA-65B with C4),LLaMA-7B; LLaMA-13B; LLaMA-30B; LLaMA-65B; Falcon-7B; Falcon-40B; OPT-6.7B / 13B / 30B / 66B (appendix F),"Speedup over FP16=1.15 (LLaMA-33B 4-bit Consumer GPU 24GB); Memory compression factor=4.0 (LLaMA family 4-bit WikiText2); Relative perplexity error vs FP16=1.0 (LLaMA family 4-bit WikiText2); Speedup over FP16=1.25 (LLaMA family 4-bit A100) | other metrics: Perplexity (WikiText2, C4, PTB); Zero-shot accuracy (WinoGrande, PiQA, HellaSwag, ARC-e, ARC-c); Average bits per parameter; Inference tokens/second (latency proxy)","LLaMA-65B at SpQR 4.71 avg bits: WikiText2 PPL 3.57 vs FP16 3.53 (Δ 0.04, near-lossless) | LLaMA-7B at SpQR ~3.94 bits: WikiText2 PPL 5.87 vs GPTQ-4bit 6.13 and RTN-4bit 6.43 | Falcon-40B at SpQR 4.46 avg bits: WikiText2 PPL 5.26 vs FP16 5.23 (within 1%) | Optimized SpQR inference: 20-30% faster than FP16 baseline on A100 (e.g. LLaMA-30B 22 vs 19 tok/s)","First PTQ method to reach near-lossless 3-4 bit compression with under 1% perplexity loss across LLaMA and Falcon scales. | Custom GPU sparse-dense kernel makes 3-4 bit SpQR 20-30% faster than FP16 inference on A100. | Bilevel quantization of scales and zero-points enables very small group sizes (8-32) cheaply. | Provides hardware-targeted recipes mapping LLaMA size + bit-width to phones, laptops, RTX and server GPUs.","Authors only measure perplexity and zero-shot accuracy, not actual generation quality. | Sparse and dense matmul are not fused, which leaves inference time on the table. | Outliers cost ~32 bits each (16-bit value + 16-bit column index), no compression of outlier indices."
RP18,2023,Shao,OmniQuant: Omnidirectionally Calibrated Quantization for Large Language Models,ICLR 2024 (arXiv:2308.13137),,"OmniQuant is a differentiable PTQ method for LLMs that learns weight clipping (LWC) and equivalent transformation (LET) parameters via block-wise error minimization, working for both weight-only and weight-activation quantization.",WikiText2; PTB; C4; PIQA; ARC; BoolQ; HellaSwag; Winogrande; Vicuna-Bench,128 randomly selected 2048-token segments from WikiText2,OPT (125M-66B); LLaMA-1 (7B-65B); LLaMA-2 (7B-70B); Falcon-180B; LLaMA-2-chat,"Perplexity=13.21 (LLaMA-1-13B 2-bit WikiText2); Quantization time (hours)=1.6 (LLaMA-2-7B 4-bit A100-40G); Quantization time (hours)=14.4 (LLaMA-2-70B 4-bit A100-40G); Accuracy=52.65 (LLaMA-1-7B 4-bit Zero-shot Avg (6 tasks)) | other metrics: Perplexity (PPL) on WikiText2; Zero-shot accuracy; Win rate (GPT-4 evaluation, Vicuna); Inference speed (tokens/s) and memory (GB)","LLaMA-13B at W2A16: OmniQuant PPL 13.21 vs GPTQ 5.5e3 (huge gap at 2-bit weight-only) | LLaMA-1-7B at W4A4: OmniQuant average zero-shot acc 52.65% vs SmoothQuant 38.41%, surpassing LLM-QAT (41.27%) by +6.22% | W4A4 average accuracy gain across LLaMA models: +4.99% to +11.80% over best prior PTQ baseline | LLaMA-7B W4A16g128 deployment via MLC-LLM: 134.2 tokens/s vs FP16 69.2 tokens/s (1.94x faster) and 3.8GB weight memory vs 12.6GB","Achieves QAT-level accuracy with PTQ-level training cost: LLaMA-2-70B quantized in 16h on a single A100-40G with only 128 samples. | Versatile across configurations: handles W4A4, W6A6, W4A16, W3A16, W2A16 for both weight-only and weight-activation quantization. | Adds zero deployment overhead: learnable clipping and equivalent transform fuse into quantized weights, leaving inference graph unchanged. | Generalizes to instruction-tuned LLaMA-2-chat with strong win rate vs RTN and parity or better than AWQ at W3A16g128.","Training time is roughly 5x slower than GPTQ, even though it stays much faster than QAT methods. | MLC-LLM kernel support for INT3/INT2 inference is suboptimal, limiting actual speedup of low-bit configs. | Real-device deployment is shown only for weight-only quantization, since W4A4 and W6A6 lack hardware support. | Learnable equivalent transformation gives only slight gain on LLaMA weight-only, indicating it is not always essential."
RP19,2023,Jaiswal,Compressing LLMs: The Truth is Rarely Pure and Never Simple,ICLR 2024,arXiv:2310.01382,"Introduces LLM-KICK, a knowledge-intensive benchmark that re-evaluates SoTA pruning and quantization methods beyond perplexity, showing pruning fails at modest sparsity while quantization is more successful but still drops on knowledge tasks.",FreebaseQA; MMLU; TriviaQA; CNN/DailyMail; MT-Bench; WikiText,"FreebaseQA, MMLU, TriviaQA, MT-Bench (80 prompts across categories), CNN/DailyMail (3 subsets of 100 articles each: small <=470 words, medium 470-790, large >=790)",Vicuna-7B; Vicuna-13B; Vicuna-33B; LLaMA-1 7B; LLaMA-2 7B,"Accuracy=61.02 (Vicuna-7B 8-bit FreebaseQA); Accuracy=13.99 (Vicuna-7B FreebaseQA); Accuracy=46.7 (Vicuna-7B 16-bit MMLU); Accuracy=31.7 (Vicuna-13B MMLU) | other metrics: Perplexity (PPL); Factoid-QA accuracy (FreebaseQA); MCR-QA accuracy (MMLU); ICRA-QA accuracy (TriviaQA open/closed-book); Summarization quality (GPT-4 Judge: coherence, consistency, fluency, relevance)","GPTQ 8-bit on Vicuna-7B Factoid-QA reaches 60.14% vs LLM-int8 61.02% and AWQ 60.31% (dense baseline ~65.4%) | GPTQ 8-bit on Vicuna-7B MMLU reaches 47.10%, AWQ 47.18%, LLM-int8 47.82% (vs dense 47.1%) | All SoTA pruning methods catastrophically fail on FreebaseQA at 50% sparsity (Magnitude 13.99%, SparseGPT 42.86%, Wanda 44.66%) vs dense 65.44% | Vicuna-13B with 46% sparsity (Magnitude/Wanda/SparseGPT, ~7B params) hits MMLU 31.7% / 45.3% / 46.3% vs dense Vicuna-7B 46.7% — large-sparse not better than small-dense | Even 8-bit GPTQ shows ~8-10% drop on Factoid-QA, indicating non-aggressive quantization remains unsolved","First holistic benchmark (LLM-KICK) that exposes how perplexity hides large knowledge losses in compressed LLMs across factoid QA, reasoning, retrieval, summarization, and instruction following. | Compares four leading methods (Magnitude, SparseGPT, Wanda, GPTQ) plus AWQ and LLM.int8 across three model scales (7B, 13B, 33B) and two model families (Vicuna, LLaMA-2). | Shows quantization preserves knowledge much better than pruning, while pruning still works for in-context retrieval and summarization at high sparsity. | Reproducible: averages 3 independent runs per cell and releases code at github.com/VITA-Group/llm-kick.","Evaluation restricted to Vicuna decoder-only models due to license; limits generality across architectures. | Does not test parameter-efficient recovery; future work to use LoRA/QLoRA is acknowledged but not done. | GPT-4 is the judge for summarization and instruction following, which adds dependence on a closed proprietary scorer."
RP20,2024,Dubey,The Llama 3 Herd of Models,arXiv preprint,,"Llama 3 is a herd of dense Transformer foundation models (8B, 70B, 405B parameters) with up to 128K context, pre-trained on 15.6T tokens, openly released and competitive with GPT-4.",MMLU; MMLU-Pro; HumanEval; MBPP; GSM8K; MATH; ARC Challenge; DROP; SQuAD V2; QuAC; RACE; CommonSenseQA; PiQA; SiQA; OpenBookQA; WinoGrande; AGIEval; BIG-Bench Hard; QuALITY; IFEval; GPQA; BFCL; Nexus; InfiniteBench; NIH/Multi-needle; MGSM,Pre-training corpus of about 15T multilingual tokens; flagship model trained on 15.6T text tokens.,Llama 3 8B; Llama 3 8B Instruct; Llama 3 70B; Llama 3 70B Instruct; Llama 3.1 8B; Llama 3.1 8B Instruct; Llama 3.1 70B; Llama 3.1 70B Instruct; Llama 3.1 405B; Llama 3.1 405B Instruct; Llama Guard 3,Accuracy=69.4 (Llama-3-8B MMLU (5-shot)); Accuracy=83.6 (Llama-3-70B MMLU (5-shot)); Accuracy=87.3 (Llama-3-405B MMLU (5-shot)); Pass@1=72.6 (Llama-3-8B HumanEval (0-shot)) | other metrics: 95% confidence interval; Pass@1 (HumanEval); Exact Match (DROP); Throughput (tokens/sec); Reward model score distribution,"Llama 3 405B Instruct reaches MMLU 87.3 (5-shot) and 88.6 (0-shot CoT), competitive with GPT-4 (85.1) and GPT-4o (89.1) | Llama 3 405B Instruct scores 89.0 on HumanEval (0-shot) and 96.8 on GSM8K (8-shot CoT) | FP8 quantization yields up to 50% throughput improvement during pre-fill on H100 vs BF16 for Llama 3 405B | int8 Llama Guard 3 keeps English F1 at 0.936 vs 0.939 non-quantized while shrinking size by more than 40%","Open release of pre-trained and post-trained 8B, 70B, and 405B models with 128K context, enabling community research and reproducibility. | Flagship 405B model performs on par with leading models like GPT-4 across many tasks. | Reports 95% confidence intervals on benchmark scores, improving statistical rigor. | Open release of FP8 inference kernels and quantized Llama Guard 3 supports efficient deployment.",Standard benchmarks do not adequately reflect FP8 quantization effects; the model can produce corrupted responses without scaling-factor upper bound. | FP8 quantization quality is sensitive; first and last Transformer layers and attention layers are kept in higher precision. | Llama 3 may still generate harmful content for non-English languages and under skilled adversarial prompting. | Adding system safeguards trades higher refusal rates of benign prompts for lower violation rates.
